ARBID decimal,ARBID hex,ARBID name,Diag ID decimal,Diag ID hex,Module
816,0x330,Kilometerstand/Reichweite [5],96,0x60,Kombi
817,0x331,Programmierung Stufentempomat [2],98,0x62,M_ASK/CCC_GW
818,0x332,Fahreranzeige Drehzahlbereich [4],18,0x12,DME1/DDE1
821,0x335,Status Elektrische Kraftstoffpumpe [3],23,0x17,EKP
822,0x336,Anzeige Checkcontrol-Meldung (Rolle) [3],96,0x60,Kombi
823,0x337,Status Kraftstoffregelung DME [1],18,0x12,DME1
824,0x338,Steuerung Anzeige Checkcontrol-Meldung [7],96,0x60,Kombi
825,0x339,Status Anzeige Funktionen Extern [1],98,0x62,M_ASK/CCC_GW
826,0x33A,Status Monitor Front [3],115,0x73,CID_C_H/CID_C
840,0x348,Übereinstimmung Navigationsgraph [4],98,0x62,CCC_GW
842,0x34A,Navigation GPS 1 [5],98,0x62,CCC_GW
843,0x34B,Status Sitzlehnenverriegelung FA (3),101,0x65,SZM_MIT_KBUS
843,0x34B,Status Sitzlehnenverriegelung FA (3),109,0x6D,SM_FA
844,0x34C,Navigation GPS 2 [5],98,0x62,CCC_GW
845,0x34D,Status Sitzlehnenverriegelung BF [2],101,0x65,SZM_MIT_KBUS
845,0x34D,Status Sitzlehnenverriegelung BF [2],110,0x6E,SM_BF
846,0x34E,Navigation System Information [6],98,0x62,CCC_GW
858,0x35A,Termin Condition Based Service [2],98,0x62,M_ASK/CCC_GW
860,0x35C,Status Bordcomputer [5],96,0x60,Kombi
862,0x35E,Daten Bordcomputer (Reisedaten) [5],96,0x60,Kombi
864,0x360,Daten Bordcomputer (Fahrtbeginn) [2],96,0x60,Kombi
866,0x362,Daten Bordcomputer (Durchschnittswerte) [4],96,0x60,Kombi
868,0x364,Daten Bordcomputer (Ankunft) [2],96,0x60,Kombi
870,0x366,Anzeige Kombi/Externe Anzeige [3],96,0x60,Kombi
871,0x367,Steuerung Anzeige Bedarfsorientierter Service [6],96,0x60,Kombi
884,0x374,Radtoleranzabgleich [7],41,0x29,DXC_RB/DSC_RB/DSC_CT
886,0x376,Status Verschleiß Lamelle [3],25,0x19,VGSG
896,0x380,Fahrgestellnummer [5],64,0x40,CAS
897,0x381,Elektronischer Motorölmessstab [10],18,0x12,DME1/DDE1
898,0x382,Elektronischer Motorölmessstab M [1],18,0x12,DME1/DDE1
904,0x388,Fahrzeugtyp [13],64,0x40,CAS
910,0x38E,Startdrehzahl [1],18,0x12,DME1/DDE1
916,0x394,RDA Anfrage/Datenablage [5],96,0x60,Kombi
917,0x395,Codierung Powermanagement [2],64,0x40,CAS
920,0x398,Bedienung Fahrwerk [14],98,0x62,M_ASK/CCC_GW
921,0x399,Status M-Drive [2],18,0x12,DME1
924,0x39C,EBA Datenanforderung [5],255,0xFF,unbekannt
926,0x39E,Bedienung Uhrzeit/Datum [1],98,0x62,M_ASK/CCC_GW
928,0x3A0,Fahrzeugzustand [4],0,0x0,KGM
931,0x3A3,Anforderung Remote Services [2],98,0x62,M_ASK/CCC_GW
940,0x3AC,Nachlaufzeit Klemme 30 fehlergesteuert [2],0,0x0,KGM
944,0x3B0,Status Gang Rückwärts [2],112,0x70,LM
945,0x3B1,Getriebedaten 3 [2],24,0x18,EGS_MECH/DKG
947,0x3B3,Powermanagement Verbrauchersteuerung [8],18,0x12,DME1/DDE1
948,0x3B4,Powermanagement Batteriespannung [11],18,0x12,DME1/DDE1
950,0x3B6,Position Fensterheber FAT [6],0,0x0,KGM
951,0x3B7,Position Fensterheber FATH [5],114,0x72,KBM
952,0x3B8,Position Fensterheber BFT [6],0,0x0,KGM
953,0x3B9,Position Fensterheber BFTH [5],114,0x72,KBM
954,0x3BA,Position SHD [10],68,0x44,SHD/MDS
958,0x3BE,Nachlaufzeit Stromversorgung [5],64,0x40,CAS
959,0x3BF,Position Fensterheber Heckscheibe [1],36,0x24,CVM_V
960,0x3C0,Konfiguration FAS [3],109,0x6D,SM_FA
961,0x3C1,Konfiguration BFS [3],110,0x6E,SM_BF
970,0x3CA,Konfiguration M-Drive [2],98,0x62,M_ASK/CCC_GW
979,0x3D3,Status Solarsensor [1],112,0x70,LM
980,0x3D4,Konfiguration Zentralverriegelung CKM [3],98,0x62,M_ASK/CCC_GW
981,0x3D5,Status Zentralverriegelung CKM [4],64,0x40,CAS
982,0x3D6,Konfiguration DWA CKM [1],98,0x62,M_ASK/CCC_GW
983,0x3D7,Status DWA CKM [2],65,0x41,DWA
984,0x3D8,Konfiguration RLS CKM [3],98,0x62,M_ASK/CCC_GW
985,0x3D9,Status RLS CKM [4],69,0x45,RLS
985,0x3D9,Status RLS CKM [4],112,0x70,LM
986,0x3DA,Konfiguration Memorypositionen CKM [1],98,0x62,M_ASK/CCC_GW
987,0x3DB,Status Memorypositionen CKM [3],101,0x65,SZM_MIT_KBUS
987,0x3DB,Status Memorypositionen CKM [3],109,0x6D,SM_FA
988,0x3DC,Konfiguration Licht CKM [3],98,0x62,M_ASK/CCC_GW
989,0x3DD,Status Licht CKM [4],112,0x70,LM
990,0x3DE,Konfiguration Klima CKM [5],98,0x62,M_ASK/CCC_GW
991,0x3DF,Status Klima CKM [6],120,0x78,IHKA
992,0x3E0,Konfiguration ALC CKM [1],98,0x62,M_ASK/CCC_GW
993,0x3E1,Status ALC CKM [1],112,0x70,LM
994,0x3E2,Konfiguration Heckklappe CKM [1],98,0x62,M_ASK/CCC_GW
995,0x3E3,Status Heckklappe CKM [1],107,0x6B,HKL
1001,0x3E9,Marker 1 [1],255,0xFF,unbekannt
1002,0x3EA,Marker 2 [3],126,0x7E,Diagnosetool_K_CAN_System
1003,0x3EB,Marker 3 [1],125,0x7D,Diagnosetool_PT_CAN
1006,0x3EE,Anforderung Fehlermeldung [1],255,0xFF,unbekannt
1007,0x3EF,OBD Daten Motor (3),18,0x12,DME1/DDE1
1008,0x3F0,Konfiguration Licht Erweitert CKM [1],98,0x62,M_ASK/CCC_GW
1009,0x3F1,Status Licht Erweitert CKM [1],112,0x70,LM
1012,0x3F4,Konfiguration Laderaumabdeckung CKM [1],98,0x62,M_ASK/CCC_GW
1013,0x3F5,Status Laderaumabdeckung CKM [1],114,0x72,KBM
1022,0x3FE,Anforderung CAN_Testtool SI-Bus [5],126,0x7E,Diagnosetool_K_CAN_System
1280,0x500,Datentransfer [1],112,0x70,LM
1280,0x500,Datentransfer [1],120,0x78,IHKA
1984,0x7C0,CAS Programmierung Bandende 1 (3),64,0x40,CAS
1985,0x7C1,CAS Programmierung Bandende 2 (3),255,0xFF,TOOL_BANDENDE_CAS
1986,0x7C2,CAS Applikationsnachricht 1 (3),64,0x40,CAS
1987,0x7C3,CAS Applikationsnachricht 2 (3),255,0xFF,TOOL_BANDENDE_CAS
1152,0x480,Netzwerkmanagement,0,0x0,KGM
1153,0x481,Netzwerkmanagement,1,0x1,ACSM
1154,0x482,Netzwerkmanagement,2,0x2,SZL_LWS
1170,0x492,Netzwerkmanagement,18,0x12,DDE1/DME1
1174,0x496,Netzwerkmanagement,22,0x16,AFS
1175,0x497,Netzwerkmanagement,23,0x17,EKP
1176,0x498,Netzwerkmanagement,24,0x18,DKG/EGS_MECH/EGS_MECH+NAVI/SMG/SMG_M
1177,0x499,Netzwerkmanagement,25,0x19,VGSG
1179,0x49B,Netzwerkmanagement,27,0x1B,VVT1
1180,0x49C,Netzwerkmanagement,28,0x1C,LDM
1182,0x49E,Netzwerkmanagement,30,0x1E,VVT2
1184,0x4A0,Netzwerkmanagement,32,0x20,RDC
1185,0x4A1,Netzwerkmanagement,33,0x21,ACC+NAVI/ACC_Modul
1187,0x4A3,Netzwerkmanagement,35,0x23,ARS_Modul
1188,0x4A4,Netzwerkmanagement,36,0x24,CVM_V
1189,0x4A5,Netzwerkmanagement,37,0x25,RSC_VDA/SC_CT/SC_VDA
1191,0x4A7,Netzwerkmanagement,39,0x27,PGS
1193,0x4A9,Netzwerkmanagement,41,0x29,DSC_CT/DSC_RB/DXC_RB
1206,0x4B6,Netzwerkmanagement,54,0x36,TEL_BPI/TEL_JAP/TEL_MULF
1207,0x4B7,Netzwerkmanagement,55,0x37,AMP_TOP
1208,0x4B8,Netzwerkmanagement,56,0x38,EHC
1209,0x4B9,Netzwerkmanagement,57,0x39,EDCK_Modul
1210,0x4BA,Netzwerkmanagement,58,0x3A,KHM
1211,0x4BB,Netzwerkmanagement,59,0x3B,JNAV
1212,0x4BC,Netzwerkmanagement,60,0x3C,CDC
1213,0x4BD,Netzwerkmanagement,61,0x3D,HUD
1216,0x4C0,Netzwerkmanagement,64,0x40,CAS
1217,0x4C1,Netzwerkmanagement,65,0x41,DWA
1220,0x4C4,Netzwerkmanagement,68,0x44,MDS/SHD
1221,0x4C5,Netzwerkmanagement,69,0x45,RLS/RLS
1227,0x4CB,Netzwerkmanagement,75,0x4B,VM
1232,0x4D0,Netzwerkmanagement,80,0x50,Notstrom-Sirene
1235,0x4D3,Netzwerkmanagement,83,0x53,IBOC
1236,0x4D4,Netzwerkmanagement,84,0x54,SDARS
1237,0x4D5,Netzwerkmanagement,85,0x55,ISpeechBox
1239,0x4D7,Netzwerkmanagement,87,0x57,NVC
1241,0x4D9,Netzwerkmanagement,89,0x59,aLBV_FA
1242,0x4DA,Netzwerkmanagement,90,0x5A,aLBV_BF
1243,0x4DB,Netzwerkmanagement,91,0x5B,DAB
1244,0x4DC,Netzwerkmanagement,92,0x5C,Behoerde
1245,0x4DD,Netzwerkmanagement,93,0x5D,TLC
1246,0x4DE,Netzwerkmanagement,94,0x5E,GWS
1247,0x4DF,Netzwerkmanagement,95,0x5F,FLA
1248,0x4E0,Netzwerkmanagement,96,0x60,Kombi
1250,0x4E2,Netzwerkmanagement,98,0x62,CCC_GW/M_ASK
1251,0x4E3,Netzwerkmanagement,99,0x63,CCC_MM
1252,0x4E4,Netzwerkmanagement,100,0x64,PDC
1253,0x4E5,Netzwerkmanagement,101,0x65,SZM/SZM_MIT_KBUS
1255,0x4E7,Netzwerkmanagement,103,0x67,ZBE/ZBE_LO
1259,0x4EB,Netzwerkmanagement,107,0x6B,HKL
1261,0x4ED,Netzwerkmanagement,109,0x6D,SM_FA/SM_FA_KBUS
1262,0x4EE,Netzwerkmanagement,110,0x6E,SM_BF/SM_BF_KBUS
1264,0x4F0,Netzwerkmanagement,112,0x70,LM/LM_ALC
1265,0x4F1,Netzwerkmanagement,113,0x71,AHM
1266,0x4F2,Netzwerkmanagement,114,0x72,KBM
1267,0x4F3,Netzwerkmanagement,115,0x73,CID_C/CID_C_H
1272,0x4F8,Netzwerkmanagement,120,0x78,IHKA
1274,0x4FA,Netzwerkmanagement,122,0x7A,SH_ZH
1277,0x4FD,Netzwerkmanagement,125,0x7D,Diagnosetool_PT_CAN
1278,0x4FE,Netzwerkmanagement,126,0x7E,Diagnosetool_K_CAN_System
1289,0x509,Netzwerkmanagement,137,0x89,Xenon_Scheinwerfer_Links_ALC
1290,0x50A,Netzwerkmanagement,138,0x8A,Xenon_Scheinwerfer_Rechts_ALC
1291,0x50B,Netzwerkmanagement,139,0x8B,CNV
1393,0x571,Netzwerkmanagement,241,0xF1,Diagnosedose
1408,0x580,Dienste,0,0x0,KGM
1409,0x581,Dienste,1,0x1,ACSM
1410,0x582,Dienste,2,0x2,SZL_LWS
1426,0x592,Dienste,18,0x12,DDE1/DME1
1430,0x596,Dienste,22,0x16,AFS
1431,0x597,Dienste,23,0x17,EKP
1432,0x598,Dienste,24,0x18,DKG/EGS_MECH/EGS_MECH+NAVI/SMG/SMG_M
1433,0x599,Dienste,25,0x19,VGSG
1435,0x59B,Dienste,27,0x1B,VVT1
1436,0x59C,Dienste,28,0x1C,LDM
1438,0x59E,Dienste,30,0x1E,VVT2
1440,0x5A0,Dienste,32,0x20,RDC
1441,0x5A1,Dienste,33,0x21,ACC+NAVI/ACC_Modul
1443,0x5A3,Dienste,35,0x23,ARS_Modul
1444,0x5A4,Dienste,36,0x24,CVM_V
1445,0x5A5,Dienste,37,0x25,RSC_VDA/SC_CT/SC_VDA
1447,0x5A7,Dienste,39,0x27,PGS
1449,0x5A9,Dienste,41,0x29,DSC_CT/DSC_RB/DXC_RB
1462,0x5B6,Dienste,54,0x36,TEL_BPI/TEL_JAP/TEL_MULF
1463,0x5B7,Dienste,55,0x37,AMP_TOP
1464,0x5B8,Dienste,56,0x38,EHC
1465,0x5B9,Dienste,57,0x39,EDCK_Modul
1466,0x5BA,Dienste,58,0x3A,KHM
1467,0x5BB,Dienste,59,0x3B,JNAV
1468,0x5BC,Dienste,60,0x3C,CDC
1469,0x5BD,Dienste,61,0x3D,HUD
1472,0x5C0,Dienste,64,0x40,CAS
1473,0x5C1,Dienste,65,0x41,DWA
1476,0x5C4,Dienste,68,0x44,MDS/SHD
1477,0x5C5,Dienste,69,0x45,RLS/RLS
1483,0x5CB,Dienste,75,0x4B,VM
1488,0x5D0,Dienste,80,0x50,Notstrom-Sirene
1491,0x5D3,Dienste,83,0x53,IBOC
1492,0x5D4,Dienste,84,0x54,SDARS
1493,0x5D5,Dienste,85,0x55,ISpeechBox
1495,0x5D7,Dienste,87,0x57,NVC
1497,0x5D9,Dienste,89,0x59,aLBV_FA
1498,0x5DA,Dienste,90,0x5A,aLBV_BF
1499,0x5DB,Dienste,91,0x5B,DAB
1500,0x5DC,Dienste,92,0x5C,Behoerde
1501,0x5DD,Dienste,93,0x5D,TLC
1502,0x5DE,Dienste,94,0x5E,GWS
1503,0x5DF,Dienste,95,0x5F,FLA
1504,0x5E0,Dienste,96,0x60,Kombi
1506,0x5E2,Dienste,98,0x62,CCC_GW/M_ASK
1507,0x5E3,Dienste,99,0x63,CCC_MM
1508,0x5E4,Dienste,100,0x64,PDC
1509,0x5E5,Dienste,101,0x65,SZM/SZM_MIT_KBUS
1511,0x5E7,Dienste,103,0x67,ZBE/ZBE_LO
1515,0x5EB,Dienste,107,0x6B,HKL
1517,0x5ED,Dienste,109,0x6D,SM_FA/SM_FA_KBUS
1518,0x5EE,Dienste,110,0x6E,SM_BF/SM_BF_KBUS
1520,0x5F0,Dienste,112,0x70,LM/LM_ALC
1521,0x5F1,Dienste,113,0x71,AHM
1522,0x5F2,Dienste,114,0x72,KBM
1523,0x5F3,Dienste,115,0x73,CID_C/CID_C_H
1528,0x5F8,Dienste,120,0x78,IHKA
1530,0x5FA,Dienste,122,0x7A,SH_ZH
1533,0x5FD,Dienste,125,0x7D,Diagnosetool_PT_CAN
1534,0x5FE,Dienste,126,0x7E,Diagnosetool_K_CAN_System
1545,0x609,Dienste,137,0x89,Xenon_Scheinwerfer_Links_ALC
1546,0x60A,Dienste,138,0x8A,Xenon_Scheinwerfer_Rechts_ALC
1547,0x60B,Dienste,139,0x8B,CNV
1649,0x671,Dienste,241,0xF1,Diagnosedose
4095,0xFFF,unbekannt,255,0xFF,Sender unbekannt
